TempNom	TempRecord	Sex	Days	Length
7	6.96	M	48	1.5
7	6.96	M	48	1.25
7	6.96	M	49	1.25
7	6.96	M	49	1.3
7	6.96	F	50	1.05
7	6.96	F	50	1.15
7	6.96	F	51	1.5
7	6.96	M	51	1.3
7	6.96	M	51	1.5
7	6.96	F	52	1.25
7	6.96	M	52	1.05
7	6.96	F	54	1.4
7	6.96	M	54	1.25
7	6.96	M	54	1
7	6.96	F	55	1.3
7	6.96	F	55	1
7	6.96	F	56	1.25
7	6.96	F	56	0.9
7	6.96	F	56	1.5
7	6.96	M	56	1.2
7	6.96	M	56	1.1
7	6.96	M	56	1.25
7	6.96	M	56	1
7	6.96	F	58	1.25
7	6.96	F	58	1
7	6.96	F	58	1.4
7	6.96	F	58	1
7	6.96	M	58	1.1
7	6.96	F	59	1.05
7	6.96	F	59	1.45
7	6.96	F	59	1.15
7	6.96	F	60	1.3
7	6.96	F	60	1.4
7	6.96	F	60	1.1
7	6.96	F	60	1.4
7	6.96	M	60	1.5
7	6.96	M	60	1.35
7	6.96	M	60	1.4
7	6.96	F	61	1.25
7	6.96	F	61	1.2
7	6.96	M	61	1.3
7	6.96	M	61	1.1
7	6.96	F	63	1.1
7	6.96	F	63	1.1
7	6.96	F	64	1.45
7	6.96	F	64	1.4
7	6.96	F	64	1.4
7	6.96	F	64	1.5
7	6.96	F	64	1.05
7	6.96	M	64	1.5
7	6.96	M	64	1.55
7	6.96	F	65	1.5
7	6.96	F	65	1.45
7	6.96	M	65	1.45
7	6.96	F	68	1.45
7	6.96	F	68	1.5
7	6.96	F	68	0.95
7	6.96	F	69	1.5
7	6.96	F	69	1.35
7	6.96	F	69	1.3
7	6.96	M	69	1.3
7	6.96	M	69	1.5
7	6.96	F	70	1.55
7	6.96	F	71	1.55
7	6.96	F	71	1.2
7	6.96	M	71	1.1
7	6.96	F	72	1.25
7	6.96	F	72	1.5
7	6.96	M	72	1.45
7	6.96	F	75	1.5
7	6.96	F	75	1.45
7	6.96	F	76	1.5
7	6.96	F	76	1
