Diet	Virgin	Hosts	Longevity	  Tibia	Codling	    Offspring	Fecundity
No diet or water	Virgin	No	4	1.25			
No diet or water	Virgin	No	4	1.35			
No diet or water	Virgin	No	4	1.60			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	5	1.50			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	5	1.40			
No diet or water	Virgin	No	6	1.70			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	6	1.60			
No diet or water	Virgin	No	6	1.60			
No diet or water	Virgin	No	6	1.55			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	7	1.50			
No diet or water	Virgin	No	4	1.50			
No diet or water	Virgin	No	7	1.40			
No diet or water	Virgin	No	4	1.25			
No diet or water	Virgin	No	5	1.50			
No diet or water	Virgin	No	4	1.40			
No diet or water	Virgin	No	5	1.70			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	4	1.40			
No diet or water	Virgin	No	6	1.70			
No diet or water	Virgin	No	6	1.70			
No diet or water	Virgin	No	5	1.60			
No diet or water	Virgin	No	7	1.35			
No diet or water	Virgin	No	6	1.60			
No diet or water	Virgin	No	6	1.60			
No diet or water	Virgin	No	5	1.45			
No diet or water	Virgin	No	3	1.30			
No diet or water	Virgin	No	4	1.25			
No diet or water	Virgin	No	7	1.65			
No diet or water	Virgin	No	6	1.65			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	6	1.65			
No diet or water	Virgin	No	5	1.50			
No diet or water	Virgin	No	5	1.70			
No diet or water	Virgin	No	5	1.25			
No diet or water	Virgin	No	7	1.50			
No diet or water	Virgin	No	3	1.50			
No diet or water	Virgin	No	10	1.60			
No diet or water	Virgin	No	4	1.45			
No diet or water	Virgin	No	5	1.55			
No diet or water	Virgin	No	6	1.50			
No diet or water	Virgin	No	4	1.50			
No diet or water	Virgin	No	5	1.45			
No diet or water	Virgin	No	5	1.60			
No diet or water	Virgin	No	4	1.60			
No diet or water	Virgin	No	5	1.50			
No diet or water	Virgin	No	4	1.50			
No diet or water	Virgin	No	9	1.65			
Water only	Virgin	No	7	1.40			
Water only	Virgin	No	6	1.75			
Water only	Virgin	No	6	1.60			
Water only	Virgin	No	6	1.75			
Water only	Virgin	No	7	1.50			
Water only	Virgin	No	4	1.35			
Water only	Virgin	No	4	1.35			
Water only	Virgin	No	6	1.60			
Water only	Virgin	No	10	1.50			
Water only	Virgin	No	5	1.35			
Water only	Virgin	No	8	1.65			
Water only	Virgin	No	5	1.40			
Water only	Virgin	No	6	1.40			
Water only	Virgin	No	7	1.60			
Water only	Virgin	No	6	1.60			
Water only	Virgin	No	6	1.50			
Water only	Virgin	No	8	1.60			
Water only	Virgin	No	7	1.40			
Water only	Virgin	No	8	1.45			
Water only	Virgin	No	5	1.30			
Water only	Virgin	No	7	1.75			
Water only	Virgin	No	8	1.60			
Water only	Virgin	No	6	1.65			
Water only	Virgin	No	6	1.40			
Water only	Virgin	No	8	1.60			
Water only	Virgin	No	7	1.50			
Water only	Virgin	No	6	1.50			
Water only	Virgin	No	8	1.50			
Water only	Virgin	No	6	1.55			
Water only	Virgin	No	4	1.70			
Water only	Virgin	No	7	1.70			
Water only	Virgin	No	4	1.50			
Water only	Virgin	No	6	1.35			
Water only	Virgin	No	7	1.50			
Water only	Virgin	No	7	1.75			
Water only	Virgin	No	6	1.55			
Water only	Virgin	No	7	1.65			
Water only	Virgin	No	5	1.65			
Water only	Virgin	No	6	1.60			
Water only	Virgin	No	5	1.60			
Water only	Virgin	No	6	1.60			
Water only	Virgin	No	8	1.60			
Water only	Virgin	No	6	1.35			
Water only	Virgin	No	2	1.60			
Water only	Virgin	No	6	1.55			
Water only	Virgin	No	5	1.55			
Water only	Virgin	No	5	1.70			
Water only	Virgin	No	6	1.50			
Water only	Virgin	No	7	1.65			
Water only	Virgin	No	6	1.25			
Water only	Virgin	No	6	1.35			
Undiluted honey and water	Virgin	No	18	1.40			
Undiluted honey and water	Virgin	No	21	1.20			
Undiluted honey and water	Virgin	No	16	1.55			
Undiluted honey and water	Virgin	No	16	1.50			
Undiluted honey and water	Virgin	No	31	1.55			
Undiluted honey and water	Virgin	No	19	1.40			
Undiluted honey and water	Virgin	No	11	1.30			
Undiluted honey and water	Virgin	No	5	1.65			
Undiluted honey and water	Virgin	No	25	1.40			
Undiluted honey and water	Virgin	No	15	1.40			
Undiluted honey and water	Virgin	No	9	1.25			
Undiluted honey and water	Virgin	No	18	1.30			
Undiluted honey and water	Virgin	No	33	1.55			
Undiluted honey and water	Virgin	No	24	1.50			
Undiluted honey and water	Virgin	No	10	1.50			
Undiluted honey and water	Virgin	No	13	1.60			
Undiluted honey and water	Virgin	No	20	1.50			
Undiluted honey and water	Virgin	No	15	1.60			
Undiluted honey and water	Virgin	No	12	1.50			
Undiluted honey and water	Virgin	No	11	1.50			
Undiluted honey and water	Virgin	No	18	1.50			
Undiluted honey and water	Virgin	No	28	1.65			
Undiluted honey and water	Virgin	No	17	1.60			
Undiluted honey and water	Virgin	No	15	1.60			
Undiluted honey and water	Virgin	No	21	1.65			
Undiluted honey and water	Virgin	No	18	1.65			
Undiluted honey and water	Virgin	No	14	1.75			
Undiluted honey and water	Virgin	No	11	1.60			
Undiluted honey and water	Virgin	No	18	1.65			
Undiluted honey and water	Virgin	No	11	1.50			
Undiluted honey and water	Virgin	No	23	1.50			
Undiluted honey and water	Virgin	No	24	1.40			
Undiluted honey and water	Virgin	No	12	1.60			
Undiluted honey and water	Virgin	No	17	1.50			
Undiluted honey and water	Virgin	No	18	1.45			
Undiluted honey and water	Virgin	No	14	1.65			
Undiluted honey and water	Virgin	No	6	1.30			
Undiluted honey and water	Virgin	No	7	1.55			
Undiluted honey and water	Virgin	No	13	1.65			
Undiluted honey and water	Virgin	No	13	1.65			
Undiluted honey and water	Virgin	No	26	1.10			
Undiluted honey and water	Virgin	No	10	1.10			
Undiluted honey and water	Virgin	No	20	1.50			
Undiluted honey and water	Virgin	No	21	1.40			
Undiluted honey and water	Virgin	No	17	1.30			
Undiluted honey and water	Virgin	No	9	1.50			
Undiluted honey and water	Virgin	No	12	1.40			
Undiluted honey and water	Virgin	No	18	1.40			
Undiluted honey and water	Virgin	No	17	1.00			
