Diet	Virgin	Longevity	Tibia	Parasitised	Offspring	Fecundity
Water only	Virgin	6.00	1.40	1.00	4.00	0.67
Water only	Virgin	3.00	1.20	0.00	0.00	0.00
Water only	Virgin	5.00	1.60	0.00	0.00	0.00
Water only	Virgin	6.00	1.30	0.00	0.00	0.00
Water only	Virgin	6.00	1.60	0.00	0.00	0.00
Water only	Virgin	7.00	1.50	0.00	0.00	0.00
Water only	Virgin	8.00	1.70	0.00	0.00	0.00
Water only	Virgin	8.00	1.70	2.00	6.00	0.75
Water only	Virgin	6.00	1.65	2.00	4.00	0.67
Water only	Virgin	4.00	1.15	0.00	0.00	0.00
Undiluted honey and water	Virgin	29.00	1.50	8.00	26.00	0.90
Undiluted honey and water	Virgin	30.00	1.60	8.00	51.00	1.70
Undiluted honey and water	Virgin	19.00	1.75	6.00	36.00	1.89
Undiluted honey and water	Virgin	40.00	1.40	4.00	10.00	0.25
Undiluted honey and water	Virgin	14.00	1.70	0.00	0.00	0.00
Undiluted honey and water	Virgin	34.00	1.60	4.00	22.00	0.65
Undiluted honey and water	Virgin	47.00	1.50	0.00	0.00	0.00
Undiluted honey and water	Virgin	33.00	1.50	8.00	37.00	1.12
Undiluted honey and water	Virgin	65.00	1.50	9.00	52.00	0.80
Undiluted honey and water	Virgin	32.00	1.55	16.00	59.00	1.84
Honey agar diet and water	Virgin	37.00	1.40	6.00	24.00	0.65
Honey agar diet and water	Virgin	55.00	1.50	12.00	49.00	0.89
Honey agar diet and water	Virgin	48.00	1.40	10.00	29.00	0.60
Honey agar diet and water	Virgin	34.00	1.50	7.00	12.00	0.35
Honey agar diet and water	Virgin	86.00	1.50	9.00	27.00	0.31
Honey agar diet and water	Virgin	63.00	1.40	6.00	33.00	0.52
Honey agar diet and water	Virgin	34.00	1.50	14.00	63.00	1.85
Honey agar diet and water	Virgin	28.00	1.50	7.00	40.00	1.43
Honey agar diet and water	Virgin	24.00	1.65	8.00	29.00	1.21
Honey agar diet and water	Virgin	64.00	1.70	5.00	26.00	0.41
Water only	Mated	5.00	1.60	2.00	8.00	1.60
Water only	Mated	6.00	1.50	1.00	3.00	0.50
Water only	Mated	6.00	1.40	1.00	4.00	0.67
Water only	Mated	5.00	1.50	0.00	0.00	0.00
Water only	Mated	4.00	1.60	1.00	5.00	1.25
Water only	Mated	4.00	1.60	0.00	0.00	0.00
Water only	Mated	5.00	1.75	0.00	0.00	0.00
Water only	Mated	6.00	1.50	0.00	0.00	0.00
Water only	Mated	5.00	1.60	1.00	1.00	0.20
Water only	Mated	5.00	1.70	0.00	0.00	0.00
Water only	Mated	6.00	1.55	0.00	0.00	0.00
Undiluted honey and water	Mated	39.00	1.65	13.00	58.00	1.49
Undiluted honey and water	Mated	25.00	1.50	1.00	5.00	0.20
Undiluted honey and water	Mated	11.00	1.50	2.00	8.00	0.73
Undiluted honey and water	Mated	19.00	1.50	7.00	52.00	2.74
Undiluted honey and water	Mated	45.00	1.50	12.00	69.00	1.53
Undiluted honey and water	Mated	38.00	1.60	9.00	38.00	1.00
Undiluted honey and water	Mated	40.00	1.50	8.00	35.00	0.88
Undiluted honey and water	Mated	20.00	1.70	3.00	13.00	0.65
Undiluted honey and water	Mated	51.00	1.65	7.00	36.00	0.71
Undiluted honey and water	Mated	38.00	1.70	11.00	45.00	1.18
Honey agar diet and water	Mated	57.00	1.40	0.00	0.00	0.00
Honey agar diet and water	Mated	60.00	1.50	11.00	35.00	0.58
Honey agar diet and water	Mated	41.00	1.55	8.00	38.00	0.93
Honey agar diet and water	Mated	54.00	1.45	10.00	48.00	0.89
Honey agar diet and water	Mated	54.00	1.50	14.00	69.00	1.28
Honey agar diet and water	Mated	49.00	1.40	13.00	67.00	1.37
Honey agar diet and water	Mated	20.00	1.65	6.00	33.00	1.65
Honey agar diet and water	Mated	33.00	1.70	5.00	16.00	0.48
Honey agar diet and water	Mated	28.00	1.60	8.00	40.00	1.43
Honey agar diet and water	Mated	38.00	1.45	9.00	44.00	1.16
Honey agar diet and water	Mated	50.00	1.50	8.00	34.00	0.68
