Diet	Virgin	Longevity	Tibia
No diet or water	Virgin female	4	1.25
No diet or water	Virgin female	4	1.35
No diet or water	Virgin female	4	1.60
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	5	1.50
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	5	1.40
No diet or water	Virgin female	6	1.70
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	6	1.60
No diet or water	Virgin female	6	1.60
No diet or water	Virgin female	6	1.55
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	7	1.50
No diet or water	Virgin female	4	1.50
No diet or water	Virgin female	7	1.40
No diet or water	Virgin female	4	1.25
No diet or water	Virgin female	5	1.50
No diet or water	Virgin female	4	1.40
No diet or water	Virgin female	5	1.70
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	4	1.40
No diet or water	Virgin female	6	1.70
No diet or water	Virgin female	6	1.70
No diet or water	Virgin female	5	1.60
No diet or water	Virgin female	7	1.35
No diet or water	Virgin female	6	1.60
No diet or water	Virgin female	6	1.60
No diet or water	Virgin female	5	1.45
No diet or water	Virgin female	3	1.30
No diet or water	Virgin female	4	1.25
No diet or water	Virgin female	7	1.65
No diet or water	Virgin female	6	1.65
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	6	1.65
No diet or water	Virgin female	5	1.50
No diet or water	Virgin female	5	1.70
No diet or water	Virgin female	5	1.25
No diet or water	Virgin female	7	1.50
No diet or water	Virgin female	3	1.50
No diet or water	Virgin female	10	1.60
No diet or water	Virgin female	4	1.45
No diet or water	Virgin female	5	1.55
No diet or water	Virgin female	6	1.50
No diet or water	Virgin female	4	1.50
No diet or water	Virgin female	5	1.45
No diet or water	Virgin female	5	1.60
No diet or water	Virgin female	4	1.60
No diet or water	Virgin female	5	1.50
No diet or water	Virgin female	4	1.50
No diet or water	Virgin female	9	1.65
Water only	Virgin female	7	1.40
Water only	Virgin female	6	1.75
Water only	Virgin female	6	1.60
Water only	Virgin female	6	1.75
Water only	Virgin female	7	1.50
