Female 1	Female 2 	Female 3	Female 4	Female 5	Female 6	Female 7	Female 8	Female 9	Female 10 	Female 11	Female 12
0	0		0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	2
0	0		0	5	0	4	0	1	4	0	0
0	0		4	0	10	0	5	0	0	0	8
0	0		0	0	0	7	0	11	0	6	0
0	0		0	0	5	11	0	0	5	3	8
0	0		0	6	4	3	8	0	4	7	6
0	4		7	5	0	6	6	0	6	0	2
0	0		0	0	7	0	0	0	0	4	0
0	0		0	3	0	8	0	1	0	0	0
0	2		0	0	8	0	0	0	5	0	4
0	0		3	0	0	8	11	0	8	8	0
0	0		3	5	8	5	0	0	0	2	3
0	0		0	4	0	0	0	0	0	0	0
0	2		1	0	6	0	0	0	0	5	0
0	0		0	8	5	0	0	0	0	4	0
0	4		0	12	0	6	0	0	0	0	0
0	3		5	0	0	0	3	0	2	0	1
0	4		4	0	4	0	0	0	0	0	0
0	4		0	0	0	5	0	0	0	0	0
0	3		5	0	0	0		0	0	5	0
0	0		0	0	2	0		3	0	0	0
0	3		6	0	0	0		0	0	0	0
0	4		0	0	6	0		0	0	0	0
0	0		0	0	0	0		0	6	0	0
0	0		0	0	4	0		0	0	0	0
0	0		0	0	0	0		0	0	0	0
0	0		0	0	0	0		0	0	0	0
0	2		0	0	0	4		0	0	0	0
0	0		0	0	0			0	0	0	0
0	0		0	0	0			0	0	0	0
0	0		0	0	0			0	0	0	0
0	0		0	0	0			0	0	0	0
0	0		0	0	0			0	0	0	0
0	0		0	0	0				0	0	0
0	0		0	0	0				0	0	0
0	0		0	0	0				0	0	0
0	0		0	0	0				0	0	0
0	0		0	0	0				0		0
0	0		0	0	0				0		0
0	0		0	0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						0
0	0			0	0						
0	0			0	0						
0	0			0	0						
0	0			0	0						
0	0										
0	0										
0	0										
	0										
	0										
	0										
