Diet	Virgin	Development	Sex	Size
Water only	Virgin	22.00	Male	1.25
Water only	Virgin	22.00	Male	1.40
Water only	Virgin	22.00	Male	1.30
Water only	Virgin	23.00	Male	1.30
Water only	Virgin	24.00	Male	1.45
Water only	Virgin	24.00	Male	1.30
Water only	Virgin	24.00	Male	1.45
Water only	Virgin	24.00	Male	1.25
Water only	Virgin	24.00	Male	1.50
Water only	Virgin	23.00	Male	1.30
Water only	Virgin	25.00	Male	1.40
Water only	Virgin	27.00	Male	1.50
Water only	Virgin	25.00	Male	1.30
Water only	Virgin	25.00	Male	1.35
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.45
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.60
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	30.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.40
Undiluted honey and water	Virgin	25.00	Male	1.60
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	25.00	Male	1.55
Undiluted honey and water	Virgin	27.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.35
Undiluted honey and water	Virgin	27.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.45
Undiluted honey and water	Virgin	28.00	Male	1.40
Undiluted honey and water	Virgin	24.00	Male	1.55
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.45
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	25.00	Male	1.40
Undiluted honey and water	Virgin	23.00	Male	1.40
Undiluted honey and water	Virgin	23.00	Male	1.40
Undiluted honey and water	Virgin	23.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.10
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.20
Undiluted honey and water	Virgin	26.00	Male	1.65
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.20
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.10
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.10
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.20
Undiluted honey and water	Virgin	26.00	Male	1.10
Undiluted honey and water	Virgin	25.00	Male	1.35
Undiluted honey and water	Virgin	25.00	Male	1.45
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	29.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.30
Undiluted honey and water	Virgin	27.00	Male	1.15
Undiluted honey and water	Virgin	29.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.55
Undiluted honey and water	Virgin	27.00	Male	1.10
Undiluted honey and water	Virgin	27.00	Male	1.40
Undiluted honey and water	Virgin	28.00	Male	1.40
Undiluted honey and water	Virgin	24.00	Male	1.00
Undiluted honey and water	Virgin	24.00	Male	1.20
Undiluted honey and water	Virgin	24.00	Male	1.15
Undiluted honey and water	Virgin	24.00	Male	1.05
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.10
Undiluted honey and water	Virgin	24.00	Male	1.00
Undiluted honey and water	Virgin	24.00	Male	1.10
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.40
Undiluted honey and water	Virgin	25.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.15
Undiluted honey and water	Virgin	31.00	Male	1.30
Undiluted honey and water	Virgin	31.00	Male	1.45
Undiluted honey and water	Virgin	31.00	Male	1.50
Undiluted honey and water	Virgin	31.00	Male	1.25
Undiluted honey and water	Virgin	31.00	Male	1.30
Undiluted honey and water	Virgin	28.00	Male	1.20
Undiluted honey and water	Virgin	29.00	Male	1.05
Undiluted honey and water	Virgin	24.00	Male	1.20
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.20
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	25.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.20
Undiluted honey and water	Virgin	30.00	Male	1.35
Undiluted honey and water	Virgin	30.00	Male	1.30
Undiluted honey and water	Virgin	30.00	Male	1.25
Undiluted honey and water	Virgin	30.00	Male	1.30
Undiluted honey and water	Virgin	30.00	Male	1.25
Undiluted honey and water	Virgin	30.00	Male	1.30
Undiluted honey and water	Virgin	23.00	Male	1.20
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.40
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.05
Undiluted honey and water	Virgin	26.00	Male	1.25
