TempNom	TempRecord	Sex	Days	Length
11	10.44	M	74	1.25
11	10.44	M	74	1.25
11	10.44	M	75	1.3
11	10.44	M	75	1.15
11	10.44	M	75	1.25
11	10.44	M	75	1.4
11	10.44	M	76	1.25
11	10.44	M	77	1.25
11	10.44	M	77	1.25
11	10.44	M	77	1
11	10.44	M	78	1.25
11	10.44	M	78	1.05
11	10.44	M	78	1
11	10.44	M	78	1.25
11	10.44	M	79	1.2
11	10.44	M	79	1
11	10.44	M	79	1.1
11	10.44	M	79	1.05
11	10.44	M	79	0.9
11	10.44	M	79	1.3
11	10.44	M	79	0.95
11	10.44	M	80	1.1
11	10.44	M	80	1.35
11	10.44	M	80	0.95
11	10.44	M	80	1
11	10.44	M	80	1.15
11	10.44	M	81	1.25
11	10.44	M	81	1.1
11	10.44	M	82	1.1
11	10.44	M	82	1.35
11	10.44	M	82	1.25
11	10.44	M	82	1.25
11	10.44	M	82	1.35
11	10.44	M	83	1.3
11	10.44	M	83	1.5
11	10.44	M	85	1.15
11	10.44	M	85	1.15
11	10.44	M	86	0.9
11	10.44	M	86	1.35
11	10.44	M	86	0.95
11	10.44	M	87	1.25
11	10.44	M	88	1.35
11	10.44	M	89	1.5
11	10.44	M	92	1.2
11	10.44	M	92	1.05
11	10.44	M	93	0.9
11	10.44	M	93	1.55
11	10.44	M	96	0.95
11	10.44	M	97	1.25
11	10.44	M	98	1.35
11	10.44	M	98	1.35
11	10.44	M	98	1.35
11	10.44	M	101	1
11	10.44	M	101	1.35
11	10.44	M	101	1.45
11	10.44	M	108	1.4
11	10.44	M	109	1.25
11	10.44	M	122	0.75
11	10.44	M	129	1.25
11	10.44	F	82	1.25
11	10.44	F	82	1.5
11	10.44	F	83	1.4
11	10.44	F	83	1.15
11	10.44	F	83	1.45
11	10.44	F	83	1.35
11	10.44	F	83	1.35
11	10.44	F	84	1.3
11	10.44	F	84	1.15
11	10.44	F	85	1.3
11	10.44	F	85	1.35
11	10.44	F	86	1.25
11	10.44	F	86	1.45
11	10.44	F	86	1.5
11	10.44	F	86	1.4
11	10.44	F	86	1.35
11	10.44	F	86	1.45
11	10.44	F	86	1.35
11	10.44	F	86	1.3
11	10.44	F	86	1.45
11	10.44	F	87	1.2
11	10.44	F	87	1.35
11	10.44	F	87	1.25
11	10.44	F	87	1.4
11	10.44	F	87	1.35
11	10.44	F	87	1.4
11	10.44	F	87	1.3
11	10.44	F	88	1.3
11	10.44	F	88	1.6
11	10.44	F	88	1.25
11	10.44	F	88	1.25
11	10.44	F	88	1.3
11	10.44	F	88	1.35
11	10.44	F	88	1.25
11	10.44	F	88	1.25
11	10.44	F	89	1.05
11	10.44	F	89	1.5
11	10.44	F	89	1.35
11	10.44	F	89	1.1
11	10.44	F	90	1.55
11	10.44	F	90	1.6
11	10.44	F	90	1.5
11	10.44	F	90	1.25
11	10.44	F	90	1.45
11	10.44	F	91	1.3
11	10.44	F	91	1.6
11	10.44	F	91	1.4
11	10.44	F	91	1.5
11	10.44	F	93	1.5
11	10.44	F	93	1.5
11	10.44	F	93	1.5
11	10.44	F	93	1.5
11	10.44	F	94	1.4
11	10.44	F	96	1.65
11	10.44	F	96	1.2
11	10.44	F	97	1.45
11	10.44	F	101	1.4
11	10.44	F	102	1.5
11	10.44	F	108	1.75
11	10.44	F	112	1.35
15	14.66	M	42	1.35
15	14.66	M	42	1.3
15	14.66	M	42	1.2
15	14.66	M	42	1.25
15	14.66	M	43	1.35
15	14.66	M	43	1.35
15	14.66	M	43	1.1
15	14.66	M	43	1.45
15	14.66	M	43	1.25
15	14.66	M	44	1.15
15	14.66	M	44	1.05
15	14.66	M	44	1.6
15	14.66	M	44	1.4
15	14.66	M	46	1.35
15	14.66	M	46	1.4
15	14.66	M	47	1.5
15	14.66	M	48	1.75
15	14.66	M	51	1.6
15	14.66	M	43	1.45
15	14.66	M	43	1.4
15	14.66	M	44	1.4
15	14.66	M	44	1.35
15	14.66	M	44	1.35
15	14.66	M	45	1.4
15	14.66	M	45	1.45
15	14.66	M	45	1.3
15	14.66	M	45	1.5
15	14.66	M	45	1.5
15	14.66	M	45	1.55
15	14.66	M	45	1.55
15	14.66	M	45	1.35
15	14.66	M	45	1.2
15	14.66	M	45	1.3
15	14.66	M	46	1.45
15	14.66	M	47	1.5
15	14.66	M	47	1.5
15	14.66	M	48	1.6
15	14.66	M	51	1.5
15	14.66	M	53	1.65
15	14.66	F	47	1.25
15	14.66	F	47	1.3
15	14.66	F	47	1.25
15	14.66	F	47	1.35
15	14.66	F	47	1.35
15	14.66	F	47	1.45
15	14.66	F	47	1.35
15	14.66	F	47	1.35
15	14.66	F	48	1.3
15	14.66	F	48	1.35
15	14.66	F	51	1.55
15	14.66	F	51	1.7
15	14.66	F	53	1.55
15	14.66	F	55	1.5
15	14.66	F	47	1.35
15	14.66	F	47	1.4
15	14.66	F	47	1.55
15	14.66	F	48	1.45
15	14.66	F	48	1.5
15	14.66	F	48	1.5
15	14.66	F	48	1.45
15	14.66	F	48	1.5
15	14.66	F	48	1.4
15	14.66	F	48	1.35
15	14.66	F	48	1.5
15	14.66	F	48	1.45
15	14.66	F	48	1.45
15	14.66	F	48	1.3
15	14.66	F	48	1.25
15	14.66	F	49	1.45
15	14.66	F	49	1.5
15	14.66	F	49	1.55
15	14.66	F	49	1.45
15	14.66	F	49	1.45
15	14.66	F	49	1.25
15	14.66	F	49	1.15
15	14.66	F	50	1.45
15	14.66	F	51	1.5
15	14.66	F	51	1.25
15	14.66	F	54	1.35
15	14.66	F	56	1.2
15	14.66	F	58	1.35
15	14.66	F	58	1.55
18	18.61	M	29	1.5
18	18.61	M	29	1.4
18	18.61	M	29	1.5
18	18.61	M	29	1.5
18	18.61	M	31	1.3
18	18.61	M	32	1.6
18	18.61	M	35	1.25
18	18.61	M	28	1.35
18	18.61	M	29	1.25
18	18.61	M	29	1.3
18	18.61	M	29	1.3
18	18.61	M	30	1.15
18	18.61	M	30	1.3
18	18.61	M	36	1.05
18	18.61	M	29	1.2
18	18.61	M	29	1.1
18	18.61	M	29	1.1
18	18.61	M	29	1.2
18	18.61	M	29	1.15
18	18.61	M	29	1.2
18	18.61	M	29	1.15
18	18.61	M	29	1.4
18	18.61	M	29	1.2
18	18.61	M	29	1.15
18	18.61	M	30	1.35
18	18.61	M	30	1.25
18	18.61	M	30	1.2
18	18.61	M	31	1.35
18	18.61	M	31	1.05
18	18.61	F	31	1.55
18	18.61	F	31	1.5
18	18.61	F	32	1.6
18	18.61	F	32	1.5
18	18.61	F	36	1.75
18	18.61	F	32	1.3
18	18.61	F	32	1.25
18	18.61	F	32	1.25
18	18.61	F	32	1.35
18	18.61	F	34	1.25
18	18.61	F	31	1.25
18	18.61	F	32	1.2
18	18.61	F	32	1.1
18	18.61	F	32	1.1
18	18.61	F	32	1.2
18	18.61	F	32	1.2
18	18.61	F	33	1.25
21	20.75	M	23	1.25
21	20.75	M	24	1.45
21	20.75	M	24	1.3
21	20.75	M	24	1.5
21	20.75	M	24	1.5
21	20.75	M	24	1.55
21	20.75	M	24	1.5
21	20.75	M	24	1.4
21	20.75	M	24	1.5
21	20.75	M	24	1.55
21	20.75	M	24	1.15
21	20.75	M	24	1.25
21	20.75	M	24	1.25
21	20.75	M	24	1.45
21	20.75	M	24	1.55
21	20.75	M	24	1.45
21	20.75	M	24	1.55
21	20.75	M	25	1.4
21	20.75	M	23	1.25
21	20.75	M	23	1.25
21	20.75	M	23	1.1
21	20.75	M	23	1.1
21	20.75	M	23	1
21	20.75	M	24	1.25
21	20.75	M	24	1.1
21	20.75	M	24	1
21	20.75	M	24	1.05
21	20.75	M	25	1.2
21	20.75	M	23	1.2
21	20.75	M	23	1.2
21	20.75	M	23	1.05
21	20.75	F	25	1.6
21	20.75	F	25	1.7
21	20.75	F	25	1.5
21	20.75	F	25	1.35
21	20.75	F	25	1.25
21	20.75	F	26	1.5
21	20.75	F	27	1.5
21	20.75	F	27	1.5
21	20.75	F	28	1.25
21	20.75	F	30	1.55
21	20.75	F	24	1.1
21	20.75	F	25	1.2
21	20.75	F	25	1.25
21	20.75	F	25	1.1
21	20.75	F	25	1.1
21	20.75	F	25	1.05
