NomTemp	TempRec	CM	Cocoons	Adults	Larvae	Unemerged
15	14.66	1	3	2	1	0
15	14.66	2	8	6	2	0
15	14.66	3	2	1	1	0
15	14.66	4	4	2	2	0
15	14.66	5	9	7	0	2
15	14.66	6	6	4	2	0
15	14.66	7	2	2	0	0
15	14.66	8	8	8	0	0
15	14.66	9	3	1	2	0
15	14.66	10	5	5	0	0
15	14.66	11	7	7	0	0
15	14.66	12	5	5	0	0
15	14.66	13	4	4	0	0
15	14.66	14	6	5	1	0
15	14.66	15	6	6	0	0
15	14.66	16	2	2	0	0
15	14.66	17	4	4	0	0
15	14.66	18	4	4	0	0
15	14.66	19	9	9	0	0
18	18.61	1	5	5	0	0
18	18.61	2	2	2	0	0
18	18.61	3	3	3	0	0
18	18.61	4	1	0	1	0
18	18.61	5	7	1	6	0
18	18.61	6	2	1	1	0
18	18.61	7	1	0	1	0
18	18.61	8	5	5	0	0
18	18.61	9	7	7	0	0
18	18.61	10	8	8	0	0
18	18.61	11	8	8	0	0
18	18.61	12	6	6	0	0
21	20.75	1	5	5	0	0
21	20.75	2	4	4	0	0
21	20.75	3	2	2	0	0
21	20.75	4	3	3	0	0
21	20.75	5	5	5	0	0
21	20.75	6	3	3	0	0
21	20.75	7	6	5	1	0
21	20.75	8	7	7	0	0
21	20.75	9	7	7	0	0
21	20.75	10	6	6	0	0
21	20.75	11	8	6	0	2
22	22.24	1	1	1	0	0
22	22.24	2	3	3	0	0
22	22.24	3	5	5	0	0
22	22.24	4	5	5	0	0
22	22.24	5	4	3	1	0
22	22.24	6	4	4	0	0
22	22.24	7	6	6	0	0
22	22.24	8	5	5	0	0
22	22.24	9	4	4	0	0
22	22.24	10	5	5	0	0
22	22.24	11	6	6	0	0
24	24.73	1	5	5	0	0
24	24.73	2	3	3	0	0
24	24.73	3	7	5	1	1
24	24.73	4	5	5	0	0
24	24.73	5	3	3	0	0
24	24.73	6	3	3	0	0
24	24.73	7	3	3	0	0
24	24.73	8	7	6	1	0
24	24.73	9	5	5	0	0
24	24.73	10	4	4	0	0
24	24.73	11	6	6	0	0
27	27.34	1	3	3	0	0
27	27.34	2	5	4	1	0
27	27.34	3	2	2	0	0
27	27.34	4	2	2	0	0
27	27.34	5	3	3	0	0
27	27.34	6	5	5	0	0
27	27.34	7	7	4	0	3
27	27.34	8	6	5	1	0
27	27.34	9	4	4	0	0
27	27.34	10	3	3	0	0
27	27.34	11	4	2	1	1
